Category ID,Category,Event,Event description,Location,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
7,Major dam failures,Marib Dam,"Unknown causes, possibly neglect. The consequent failure of the irrigation system provoked the migration of up to 50,000 people from Yemen.",Sheba - Yemen,575,,Un­known,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Subiaco Dam,Amateur attempt to lower the dam,Subiaco - Italy,1305,,Un­known,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Döda fallet/1796 Ragunda lake burst disaster,"Natural dam of glacial till had canal dug through it for purposes of navigation. As the till was hard to dig, water was used to erode the channel. The canal led to the failure of the dam.",Jämtland - Sweden,1796,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Puentes Dam,"1,800 houses and 40,000 trees destroyed.",Lorca - Spain,1802,,608,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Hogs Back Dam,"Inexperience with cold weather engineering allowed for a small leak in wall to form on March 28 and the dam to slump on April 2. The following day, on April 3, the dam failed and washed away down the Rideau River. A new dam of a different design was built atop the foundation of the original later that same year.",Ottawa - Upper Canada,1829-04-03,,Un­known,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Bilberry reservoir,Failed in a heavy rain. Inquest found construction was culpably negligent.,Holme Valley - United Kingdom,1852-02-05,,81,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Dale Dike Reservoir/Great Sheffield Flood,Defective design and construction. Small leak in wall grew until new dam failed. More than 600 houses were damaged or destroyed. Lead to regulation.,South Yorkshire - United Kingdom,1864-03-11,,244,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Iruka Lake Dam,"Under the influence of heavy rain from late April, this soil dam collapsed on May 13. Water accumulated in Lake Iruka overflowed downstream, causing severe damage to Inuyama, Iwakura, Kasugai, Tsushima Yatomi, and to Komaki. 807 houses were destroyed, with another 11709 flooded.","Inuyama, Aichi Prefecture(then Owari Province) - Japan",1868,,941,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Mill River Dam,"Lax regulations and cost cutting led to an insufficient design, which fell apart when the reservoir was full. 600 million gallons of water were released, wiping out 4 towns and making national headlines. This dam break led to increased regulation of dam construction.","Williamsburg, Massachusetts - United States",1874,,139,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,South Fork Dam/Johnstown flood,"Blamed on poor maintenance by owners, who lowered crest by a meter or more; court deemed it an ""Act of God"". Followed exceptionally heavy rainfall. 1,600 homes were destroyed.","Johnstown, Pennsylvania - United States",1889-05-31,,2 208,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Walnut Grove Dam,"A drunkard's negligence, shoddy construction, and corporate mismanagement killed as many as 150 after a routine flood exceeded the dam's design capacity.","Wickenburg, Arizona - United States",1890,,100+,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Gohna Lake dam,Failure of a landslide dam. Authorities had been able to evacuate the valley.,Garhwal - British India,1894-08-25,,1,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
